"Timestamp","1. What is your assigned Worker ID?","2. In which department do you work?","3.  Which days of the week are you available to take shifts?","4.  What time of day do you prefer to work?","5.  How many off days do you want to have this week?","6.  Are there any specific days and times when you STRICTLY CANNOT work?","7.  What is the maximum number of consecutive days you are willing to work without a day off?"
"2026/04/23 12:42:24 pm GMT+4","3478","Reception","Monday;Tuesday;Wednesday;Thursday;Sunday","Morning Shift (e.g., 08:00 - 16:00);Afternoon Shift (e.g., 16:00 - 00:00)","2","Thursday Night Shift","4days;5days;6days"
"2026/04/23 12:43:34 pm GMT+4","9719","Housekeeping","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Morning Shift (e.g., 08:00 - 16:00);Night Shift (e.g., 00:00 - 08:00)","1","Monday Afternoon Shifts","4days;5days"
"2026/04/23 12:45:49 pm GMT+4","1267","Food & Beverage (F&B)","Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday","Morning Shift (e.g., 08:00 - 16:00);Afternoon Shift (e.g., 16:00 - 00:00)","1","Monday fully","5days;6days"
"2026/04/23 12:51:59 pm GMT+4","7230","Food & Beverage (F&B)","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday","Morning Shift (e.g., 08:00 - 16:00);Afternoon Shift (e.g., 16:00 - 00:00);Night Shift (e.g., 00:00 - 08:00);Available Anytime","0","No any","7days"
"2026/04/23 1:12:37 pm GMT+4","4681","Food & Beverage (F&B)","Monday;Tuesday;Thursday;Friday;Sunday","Morning Shift (e.g., 08:00 - 16:00)","2","no any","4days"
"2026/04/23 1:12:47 pm GMT+4","5639","Food & Beverage (F&B)","Monday;Tuesday;Wednesday;Thursday;Friday","Morning Shift (e.g., 08:00 - 16:00)","2","No any ","5days"
"2026/04/23 1:12:49 pm GMT+4","6970","Food & Beverage (F&B)","Monday;Tuesday;Wednesday;Thursday;Saturday","Night Shift (e.g., 00:00 - 08:00)","2","No any","5days"
"2026/04/23 1:14:55 pm GMT+4","6774","Housekeeping","Tuesday;Wednesday;Thursday;Friday;Saturday","Morning Shift (e.g., 08:00 - 16:00)","2","no","4days;5days"
"2026/04/23 1:14:57 pm GMT+4","6754","Housekeeping","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon Shift (e.g., 16:00 - 00:00)","1","No","6days"
"2026/04/23 1:19:14 pm GMT+4","3021","Food & Beverage (F&B)","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Available Anytime","1","Thursday morning","5days"
"2026/04/23 1:24:07 pm GMT+4","0179","Food & Beverage (F&B)","Wednesday;Thursday;Friday;Saturday;Sunday","Morning Shift (e.g., 08:00 - 16:00);Afternoon Shift (e.g., 16:00 - 00:00);Night Shift (e.g., 00:00 - 08:00)","2","Saturday morning shift","4days;5days"
"2026/04/23 1:24:53 pm GMT+4","3052","Food & Beverage (F&B)","Monday;Tuesday;Wednesday;Thursday;Sunday","Morning Shift (e.g., 08:00 - 16:00)","2","sunday morning ","4days"
"2026/04/23 1:25:30 pm GMT+4","4509","Food & Beverage (F&B)","Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon Shift (e.g., 16:00 - 00:00);Night Shift (e.g., 00:00 - 08:00)","2","Friday night","3days"
"2026/04/23 1:26:09 pm GMT+4","1028","Food & Beverage (F&B)","Monday;Tuesday;Wednesday;Friday;Saturday;Sunday","Available Anytime","1","no any","6days"
"2026/04/23 1:31:23 pm GMT+4","2895","Reception","Monday;Tuesday;Wednesday;Thursday;Friday;Sunday","Afternoon Shift (e.g., 16:00 - 00:00);Night Shift (e.g., 00:00 - 08:00)","1","Friday evening","5days"
"2026/04/23 1:32:41 pm GMT+4","4781","Reception","Monday;Tuesday;Wednesday;Thursday;Sunday","Afternoon Shift (e.g., 16:00 - 00:00);Night Shift (e.g., 00:00 - 08:00)","2","Sunday evening","4days"
"2026/04/23 1:33:39 pm GMT+4","0783","Reception","Monday;Tuesday;Wednesday;Thursday;Friday","Available Anytime","2","No any","5days"
"2026/04/23 1:34:45 pm GMT+4","5089","Reception","Wednesday;Thursday;Friday;Saturday;Sunday","Morning Shift (e.g., 08:00 - 16:00);Afternoon Shift (e.g., 16:00 - 00:00)","2","Tuesday morning","4days"
"2026/04/23 1:36:17 pm GMT+4","2840","Housekeeping","Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon Shift (e.g., 16:00 - 00:00);Night Shift (e.g., 00:00 - 08:00)","2","Thursday night","5days"
